Company,Category,Question Number,Question,Answer,
Alphabet,Risk Evaluation,Q1,What regulatory challenges does Alphabet face in international markets like China and India?,"Alphabet notes that evolving regulations around AI, data privacy, and digital competition may require localization and limit its operational scope in markets like China and India.",
Alphabet,Risk Evaluation,Q2,How do geopolitical tensions influence Alphabet¡¯s cloud expansion plans?,"Geopolitical issues such as sanctions and compliance requirements are cited by Alphabet as limiting factors for delivering cloud services globally, especially in highly regulated regions.",
Alphabet,Risk Evaluation,Q3,What risks are associated with Alphabet's integration of generative AI?,"Alphabet identifies challenges related to ethical misuse, regulatory oversight, and the costs involved in scaling generative AI technologies responsibly.",
Alphabet,Risk Evaluation,Q4,How does Alphabet evaluate competitive pressure in the digital advertising space?,"Alphabet faces intense competition from firms like Meta and TikTok, along with risks from ad-blocking tools and changing practices around third-party cookies.",
Alphabet,Risk Evaluation,Q5,What operational risks does Alphabet associate with its supply chain?,"Alphabet warns of dependencies on limited suppliers for critical hardware and infrastructure, making the company vulnerable to shortages and geopolitical disruptions.",
Alphabet,Risk Evaluation,Q6,How do content moderation and misinformation affect Alphabet¡¯s platform risk?,"Alphabet sees poor handling of misinformation on platforms like YouTube as a source of reputational damage, legal exposure, and potential fines.",
Alphabet,Risk Evaluation,Q7,What cybersecurity threats does Alphabet identify for its enterprise cloud clients?,"Alphabet highlights risks such as state-sponsored attacks, software supply chain issues, and potential data breaches within its cloud operations.",
Alphabet,Risk Evaluation,Q8,How might future environmental regulations impact Alphabet¡¯s infrastructure?,Stricter carbon and energy policies may increase the cost of running Alphabet¡¯s data centers and delay progress toward its net-zero goals.,
Alphabet,Risk Evaluation,Q9,What legal concerns does Alphabet raise about AI misuse?,The company is concerned about legal and reputational risks from biased or inaccurate outputs generated by its AI models.,
Alphabet,Risk Evaluation,Q10,How are Alphabet¡¯s ad revenues influenced by macroeconomic conditions?,"Alphabet explains that economic downturns typically lead to reduced advertising budgets, which negatively affect its core ad-driven business model.",
Alphabet,Number & Performance Checks,Q11,What was Alphabet's cash and cash equivalents at the end of FY 2024?,"$24.3 billion as of December 31, 2024.",
Alphabet,Number & Performance Checks,Q12,What was Alphabet¡¯s total liquidity (cash + marketable securities) at the end of 2024?,$110.9 billion.,
Alphabet,Number & Performance Checks,Q13,How did Alphabet¡¯s operating margin perform in 2024?,Operating margin stood at ~27.7% on operating income of $97.2 billion.,
Alphabet,Number & Performance Checks,Q14,What was Alphabet¡¯s total R&D spending in 2024?,$50.2 billion ¡ª reflecting substantial investment in AI and product development.,
Alphabet,Number & Performance Checks,Q15, How much revenue did Alphabet generate in total in 2024?,$351.7 billion.,
Alphabet,Number & Performance Checks,Q16,What portion of total revenue came from Google Cloud?,$37.4 billion ¡ª roughly 10.6% of total revenues.,
Alphabet,Number & Performance Checks,Q17,What was Alphabet's net income in 2024?,$83.5 billion.,
Alphabet,Number & Performance Checks,Q18,How much did Alphabet spend on share repurchases in 2024?,$62.5 billion was spent on stock buybacks.,
Alphabet,Number & Performance Checks,Q19,What are Alphabet¡¯s reported long-term debts as of 2024 year-end?," $13.7 billion, relatively stable year-over-year.",
Alphabet,Business Segmentation & Strategy,Q20,What are Alphabet¡¯s three reported business segments?,"Google Services, Google Cloud, and Other Bets.",
Alphabet,Business Segmentation & Strategy,Q21,What is the largest revenue driver within Google Services?,"Advertising ¡ª including Google Search, YouTube ads, and Network Partner ads.",
Alphabet,Business Segmentation & Strategy,Q22,What are the primary revenue streams beyond advertising?," Consumer subscriptions (YouTube Premium, Google One), hardware (Pixel devices), and Google Play transactions.",
Alphabet,Business Segmentation & Strategy,Q23,How does Alphabet describe Google Cloud¡¯s value proposition?,"AI-optimized infrastructure, secure data handling, and vertical-specific solutions like Vertex AI and Gemini Workspace tools.",
Alphabet,Business Segmentation & Strategy,Q24,What is Alphabet¡¯s approach to integrating AI across segments?,"Gemini models power all major Alphabet products (Search, Ads, Workspace, Cloud), with widespread use in 2B+ user apps.",
